test,symbol,period,horizon_bars,n,hit_rate,avg_ret,sharpe
btc_impulse_alt_lag,DOT/USDT,full,6,90,0.45555555555555555,0.006141417116285539,0.08818356419928466
ethbtc_above_ma,DOT/USDT,IS,42,4465,0.4799552071668533,0.011063907632624862,0.060559768282599256
ethbtc_below_ma,DOT/USDT,IS,42,5920,0.49239864864864863,0.012067315675524498,0.09697291156535676
ethbtc_above_ma,DOT/USDT,OOS,42,1182,0.3604060913705584,-0.02981004376805563,-0.28607157972132746
ethbtc_below_ma,DOT/USDT,OOS,42,967,0.43536711478800416,-0.005824288472370713,-0.06267860204605108
ethbtc_above_ma,DOT/USDT,full,42,5647,0.4549318222064813,0.002508389560090003,0.014745680715957681
ethbtc_below_ma,DOT/USDT,full,42,6887,0.4843908813706984,0.009555165071340578,0.07918579876489323
alt_btc_rs_breakout,ATOM/USDT,IS,6,584,0.4674657534246575,-0.0001431293562834512,-0.002358571741899178
alt_btc_rs_breakout,ATOM/USDT,IS,18,584,0.4794520547945205,0.001557271445017375,0.015582406373801337
alt_btc_rs_breakout,ATOM/USDT,IS,42,584,0.4897260273972603,0.010461136885524473,0.06841672352698658
alt_btc_rs_breakout,ATOM/USDT,OOS,6,106,0.4716981132075472,-0.003725926882793864,-0.08293855496737906
alt_btc_rs_breakout,ATOM/USDT,OOS,18,106,0.4528301886792453,-0.0029266610322266962,-0.04859855484101999
alt_btc_rs_breakout,ATOM/USDT,OOS,42,102,0.4019607843137255,-0.0027438429907113773,-0.03135304418214039
alt_btc_rs_breakout,ATOM/USDT,full,6,690,0.4681159420289855,-0.0006935301357183844,-0.011849921971084932
alt_btc_rs_breakout,ATOM/USDT,full,18,690,0.4753623188405797,0.0008684354412668373,0.009150907555050818
alt_btc_rs_breakout,ATOM/USDT,full,42,686,0.47667638483965014,0.008497714221710981,0.058570899980631315
btc_impulse_alt_lag,ATOM/USDT,IS,1,157,0.5159235668789809,-0.0005327745321014802,-0.019122574919821028
btc_impulse_alt_lag,ATOM/USDT,IS,3,157,0.4713375796178344,-0.001668292082258975,-0.03640608297752249
btc_impulse_alt_lag,ATOM/USDT,IS,6,157,0.4585987261146497,0.0013822537175496477,0.021601800909043532
btc_impulse_alt_lag,ATOM/USDT,OOS,1,9,0.5555555555555556,-0.002391123552721333,-0.08419105341832138
