symbol,direction,horizon_bars,n,hit_rate,avg_ret,directional_avg,sharpe,rows,first,last
NEAR/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
NEAR/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
NEAR/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
NEAR/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
RENDER/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
RENDER/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
RENDER/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
RENDER/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
RENDER/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
RENDER/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TAO/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TAO/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TAO/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TAO/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TAO/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TAO/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
JUP/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
JUP/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
JUP/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
JUP/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
JUP/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
JUP/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
DYDX/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
DYDX/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
DYDX/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
DYDX/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
DYDX/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
DYDX/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
GMX/USDT,long,6,3,1.0,0.01143193785316606,0.01143193785316606,1.3636503446383006,181,2026-04-15 16:00:00,2026-05-15 16:00:00
GMX/USDT,long,18,3,0.3333333333333333,-0.0012007826546257168,-0.0012007826546257168,-0.0689744802443133,181,2026-04-15 16:00:00,2026-05-15 16:00:00
GMX/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
GMX/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
GMX/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
GMX/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
UNI/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
UNI/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
UNI/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
UNI/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
UNI/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
UNI/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AAVE/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AAVE/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AAVE/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AAVE/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AAVE/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
AAVE/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LDO/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LDO/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LDO/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LDO/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LDO/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
LDO/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
PENDLE/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
PENDLE/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
PENDLE/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
PENDLE/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
PENDLE/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
PENDLE/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ONDO/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ONDO/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ONDO/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ONDO/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ONDO/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
