symbol,direction,horizon_bars,n,hit_rate,avg_ret,directional_avg,sharpe,rows,first,last
ATOM/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
ATOM/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
NEAR/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
NEAR/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
NEAR/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
NEAR/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
NEAR/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
NEAR/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,long,6,7,0.5714285714285714,0.03674976087075778,0.03674976087075778,0.28474279124270996,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,long,18,4,1.0,0.09125903369877036,0.09125903369877036,2.971584036322572,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
INJ/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
APT/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SUI/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,long,6,5,1.0,0.07014173025962896,0.07014173025962896,1.6827047016800865,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,long,18,5,0.8,0.08197355309488175,0.08197355309488175,1.0205836783466613,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,long,42,1,0.0,-0.01705426356589157,-0.01705426356589157,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
SEI/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
