score_col,horizon_d,ic_full,pval_full,n_full,ic_IS,pval_IS,n_IS,ic_OOS,pval_OOS,n_OOS,IS_n_long,IS_n_short,IS_hit_long,IS_hit_short,IS_avg_ret_long,IS_avg_ret_short
mechanical_buy_score,1,-0.014282533130481521,8.025974324220738e-05,76226,-0.016417304949914797,0.00016264900408908772,52746,-0.004208913974098736,0.6936613085474297,8760,14737,0,0.497658953654068,,-3.7477200975929916e-05,
mechanical_buy_score,7,-0.029249427982278194,6.555550160941203e-16,76220,-0.03558310857457128,2.904741130143437e-16,52746,-0.0021164621591250516,0.8430450833767514,8754,14737,0,0.494741127773631,,-0.00032865611409929575,
mechanical_buy_score,30,-0.047746030034926494,9.425890242203918e-40,76197,-0.06342908426907269,2.95399002466397e-48,52746,0.035628271497155056,0.0008658663315200413,8731,14737,0,0.48680192712220943,,-0.0014065625631342847,
