score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
double_reclaim_score,1,IS,long,45,0.5333333333333333,0.0029478320291673127,0.0277633951075409,0.10617692892922319,0.0029478320291673127
double_reclaim_score,1,IS,short,0,,,,,
double_reclaim_score,1,OOS,long,9,0.4444444444444444,0.001347664896045628,0.0186263868857307,0.07235245913838755,0.001347664896045628
double_reclaim_score,1,OOS,short,0,,,,,
double_reclaim_score,1,full,long,55,0.509090909090909,0.0021525782203595327,0.02636634870473463,0.08164111930951563,0.0021525782203595327
double_reclaim_score,1,full,short,0,,,,,
double_reclaim_score,7,IS,long,45,0.6444444444444445,0.029906014684883627,0.08114539829164673,0.3685484983066774,0.029906014684883627
double_reclaim_score,7,IS,short,0,,,,,
double_reclaim_score,7,OOS,long,7,0.5714285714285714,0.01618716297962584,0.06825369385607871,0.23716171338299227,0.01618716297962584
double_reclaim_score,7,OOS,short,0,,,,,
double_reclaim_score,7,full,long,53,0.6226415094339622,0.026032681338053712,0.07967863635764201,0.32672096973653725,0.026032681338053712
double_reclaim_score,7,full,short,0,,,,,
double_reclaim_score,30,IS,long,45,0.7111111111111111,0.09503561601814706,0.1514530264630734,0.6274923534876883,0.09503561601814706
double_reclaim_score,30,IS,short,0,,,,,
double_reclaim_score,30,OOS,long,6,0.16666666666666666,-0.10725853163439038,0.09803945018189981,-1.0940344058987042,-0.10725853163439038
double_reclaim_score,30,OOS,short,0,,,,,
double_reclaim_score,30,full,long,52,0.6346153846153846,0.06557872595469263,0.16323134150490598,0.4017532745249272,0.06557872595469263
double_reclaim_score,30,full,short,0,,,,,
