score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
regime_down_score,1,IS,long,0,,,,,
regime_down_score,1,IS,short,287,0.4843205574912892,0.0021434371180113487,0.03477271340431171,-0.061641353468423,-0.0021434371180113487
regime_down_score,1,OOS,long,0,,,,,
regime_down_score,1,OOS,short,104,0.5673076923076923,-0.0019998974332339032,0.029924044219175848,0.06683245815925958,0.0019998974332339032
regime_down_score,1,full,long,0,,,,,
regime_down_score,1,full,short,575,0.5026086956521739,0.0001793626695240621,0.03582488136471639,-0.005006650760348778,-0.0001793626695240621
regime_down_score,7,IS,long,0,,,,,
regime_down_score,7,IS,short,287,0.4808362369337979,0.006756713556768359,0.08278767859789476,-0.08161496579202521,-0.006756713556768359
regime_down_score,7,OOS,long,0,,,,,
regime_down_score,7,OOS,short,102,0.5980392156862745,-0.01486106964883089,0.052747546391450406,0.2817395436470889,0.01486106964883089
regime_down_score,7,full,long,0,,,,,
regime_down_score,7,full,short,573,0.4956369982547993,0.0005234299379769422,0.08502376166964692,-0.006156278288541121,-0.0005234299379769422
regime_down_score,30,IS,long,0,,,,,
regime_down_score,30,IS,short,287,0.3623693379790941,0.049447730905406814,0.18468842397485793,-0.26773595139962997,-0.049447730905406814
regime_down_score,30,OOS,long,0,,,,,
regime_down_score,30,OOS,short,100,0.53,-0.035263696245096614,0.11369154079911134,0.31016992115012526,0.035263696245096614
regime_down_score,30,full,long,0,,,,,
regime_down_score,30,full,short,571,0.46059544658493873,0.013894343264713236,0.17379361923598657,-0.07994737278499695,-0.013894343264713236
