score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
liquidity_grab_score,1,IS,long,213,0.5023474178403756,-0.00019235182566319312,0.015352425502806797,-0.012529083800343243,-0.00019235182566319312
liquidity_grab_score,1,IS,short,211,0.44075829383886256,0.001951217625543563,0.0123384336130185,-0.15814143729596264,-0.001951217625543563
liquidity_grab_score,1,OOS,long,34,0.4117647058823529,-0.002486293050259684,0.011442994844089461,-0.21727642842939013,-0.002486293050259684
liquidity_grab_score,1,OOS,short,33,0.45454545454545453,0.0005544012471189186,0.006197135484615662,-0.08946088858234827,-0.0005544012471189186
liquidity_grab_score,1,full,long,303,0.49834983498349833,-0.0005652653698706161,0.014601948024206156,-0.03871164100389592,-0.0005652653698706161
liquidity_grab_score,1,full,short,288,0.4652777777777778,0.0007907619362018781,0.014336218682536823,-0.05515833384748224,-0.0007907619362018781
liquidity_grab_score,7,IS,long,213,0.5023474178403756,-0.00267061063698153,0.04780291179595034,-0.055867112203984465,-0.00267061063698153
liquidity_grab_score,7,IS,short,211,0.4786729857819905,0.004817169461151474,0.033380034439050445,-0.14431289667921945,-0.004817169461151474
liquidity_grab_score,7,OOS,long,34,0.4411764705882353,-0.004545869023034329,0.017962148025681343,-0.25308047882329454,-0.004545869023034329
liquidity_grab_score,7,OOS,short,32,0.5625,-0.003530950544680958,0.02039529583887045,0.17312573313849575,0.003530950544680958
liquidity_grab_score,7,full,long,303,0.49504950495049505,-0.003076528820586478,0.044585666989320316,-0.0690026420670886,-0.003076528820586478
liquidity_grab_score,7,full,short,287,0.5087108013937283,0.002418387037170707,0.03350628398840842,-0.07217711871621914,-0.002418387037170707
liquidity_grab_score,30,IS,long,213,0.5821596244131455,0.004741757190986657,0.08496621752338623,0.05580755892401034,0.004741757190986657
liquidity_grab_score,30,IS,short,211,0.4312796208530806,0.020366352146506728,0.07713594297464883,-0.26403193324803514,-0.020366352146506728
liquidity_grab_score,30,OOS,long,34,0.6176470588235294,9.639408766651421e-05,0.03485728012647248,0.002765393264097717,9.639408766651421e-05
liquidity_grab_score,30,OOS,short,31,0.5806451612903226,-0.005383125730906208,0.040012886321338065,0.13453480180547475,0.005383125730906208
liquidity_grab_score,30,full,long,303,0.5841584158415841,0.004713171855972561,0.08473455144899683,0.05562278640029739,0.004713171855972561
liquidity_grab_score,30,full,short,286,0.4405594405594406,0.015798813211158648,0.0777374886073244,-0.203232873793534,-0.015798813211158648
