score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
double_reclaim_score,1,IS,long,45,0.5333333333333333,0.0029478320291673127,0.0277633951075409,0.10617692892922319,0.0029478320291673127
double_reclaim_score,1,IS,short,0,,,,,
double_reclaim_score,1,OOS,long,10,0.4,0.0026551542426636486,0.01823905329642843,0.14557522254642355,0.0026551542426636486
double_reclaim_score,1,OOS,short,0,,,,,
double_reclaim_score,1,full,long,56,0.5,0.002371685008607145,0.026199372052703944,0.09052449821454296,0.002371685008607145
double_reclaim_score,1,full,short,0,,,,,
double_reclaim_score,7,IS,long,45,0.6444444444444445,0.029906014684883627,0.08114539829164673,0.3685484983066774,0.029906014684883627
double_reclaim_score,7,IS,short,0,,,,,
double_reclaim_score,7,OOS,long,7,0.42857142857142855,0.01589744417413839,0.06833367201689292,0.23264437143387157,0.01589744417413839
double_reclaim_score,7,OOS,short,0,,,,,
double_reclaim_score,7,full,long,53,0.6037735849056604,0.025994416590159143,0.0796914256576833,0.3261883744158232,0.025994416590159143
double_reclaim_score,7,full,short,0,,,,,
double_reclaim_score,30,IS,long,45,0.7111111111111111,0.09503561601814706,0.1514530264630734,0.6274923534876883,0.09503561601814706
double_reclaim_score,30,IS,short,0,,,,,
double_reclaim_score,30,OOS,long,6,0.16666666666666666,-0.10725853163439038,0.09803945018189981,-1.0940344058987042,-0.10725853163439038
double_reclaim_score,30,OOS,short,0,,,,,
double_reclaim_score,30,full,long,52,0.6346153846153846,0.06557872595469263,0.16323134150490598,0.4017532745249272,0.06557872595469263
double_reclaim_score,30,full,short,0,,,,,
